Title,Air Date,Code,#,Description,Season,Episode
Grey Dawn,"November 5, 2003",710,106,"The elderly have their driver's licenses taken away, against which the AARP retaliates.",7,10
Casa Bonita,"November 12, 2003",711,107,"Cartman tries to get himself invited to Kyle's birthday party at Casa Bonita, a Disneyland-like Mexican restaurant.",7,11
All About Mormons,"November 19, 2003",712,108,"Stan befriends a boy and his family, who are all Mormons.",7,12
Butt Out,"December 3, 2003",713,109,The town calls in Rob Reiner to combat the spread of smoking among children after the boys are caught doing so.,7,13
Raisins,"December 10, 2003",714,110,"The boys take Stan to Raisins, a Hooters-like restaurant after Wendy breaks up with him. Butters meets a girl who seems interested in him.",7,14
It's Christmas in Canada,"December 17, 2003",715,111,Kyle and the boys fly to Canada during Christmastime to see the Canadian Prime Minister after Ike's biological parents take him back to Canada.,7,15
Good Times with Weapons,"March 17, 2004",801,112,The boys buy weapons at a fair and imagine themselves as anime characters.,8,1
Up the Down Steroid,"March 24, 2004",803,113,Jimmy uses steroids to cheat in the Special Olympics. Cartman disguises himself as being mentally retarded to win the prize.,8,3
The Passion of the Jew,"March 31, 2004",804,114,Kyle develops feelings of anti-Semitism after watching Mel Gibson's The Passion of the Christ.,8,4
You Got F'd in the A,"April 7, 2004",805,115,Stan must form a dance group to compete against rivals from Orange County in a spoof of You Got Served.,8,5
AWESOM-O,"April 14, 2004",802,116,Cartman pretends to be a robot so he can hear private secrets from Butters.,8,2
The Jeffersons,"April 21, 2004",807,117,All the children want to be friends with a rich new neighbor who is under investigation by the police.,8,7
Goobacks,"April 28, 2004",806,118,The town becomes angry when immigrants from the year 3045 arrive and take the residents' jobs for lower wages.,8,6
Douche and Turd,"October 27, 2004",808,119,Stan is forced to vote in an election for the school's new mascot.,8,8
Something Wall-Mart This Way Comes,"November 3, 2004",809,120,"When a Wall-Mart store comes to South Park, all the independent stores go out of business.",8,9
Pre-School,"November 10, 2004",810,121,A face from the past causes trouble for the boys.,8,10
Quest for Ratings,"November 17, 2004",811,122,The boys' school news show is in competition against a rival television program created by Craig.,8,11
Stupid Spoiled Whore Video Playset,"December 1, 2004",812,123,Wendy feels left out when all the fourth grade girls start acting like Paris Hilton.,8,12
Cartman's Incredible Gift,"December 8, 2004",813,124,Cartman gains paranormal powers and uses them to become a psychic detective for hire.,8,13
Woodland Critter Christmas,"December 15, 2004",814,125,"Stan helps the Woodland Critters, who await the birth of their savior.",8,14
Mr. Garrison's Fancy New Vagina,"March 9, 2005",901,126,"A sex change turns Mr. Garrison into ""Mrs. Garrison"".",9,1
"Die Hippie, Die","March 16, 2005",902,127,"Cartman seeks to rid South Park of its growing hippie population. Stan, Kyle, and Kenny become more like hippies.",9,2
Wing,"March 23, 2005",903,128,The boys start a talent agency in hopes of making money from Token.,9,3
Best Friends Forever,"March 30, 2005",904,129,"Kenny is killed by heaven after becoming master of the PSP, but the town brings him back to life; leaving him in a persistent vegetative state.",9,4
The Losing Edge,"April 6, 2005",905,130,The boys try to lose their baseball games on purpose so they can avoid playing all summer. Randy gets into training to fight the other fathers at the games.,9,5
The Death of Eric Cartman,"April 13, 2005",906,131,"The kids of South Park agree to ignore Cartman, leading him to think that he is dead.",9,6
Erection Day,"April 20, 2005",907,132,Jimmy starts getting erections and worries about performing in the school talent show.,9,7
Two Days Before the Day After Tomorrow,"October 19, 2005",908,133,A state of emergency is declared in South Park after it is announced that global warming is coming.,9,8
Marjorine,"October 26, 2005",909,134,"Butters is forced to fake his own death in order to snoop in on the girls' sleepover as Marjorine, the new girl.",9,9
Follow That Egg!,"November 2, 2005",910,135,"After learning Mr. Slave will marry Big Gay Al, Mrs. Garrison vows to stop same-sex marriage from being approved. A project involving an egg makes Stan and Kyle into rivals.",9,10
Ginger Kids,"November 9, 2005",911,136,"Cartman suffers from a mysterious and sudden onset of the 'disease' Gingervitis. He then starts a campaign to give children in his assumed position ""more than equal"" rights.",9,11
Trapped in the Closet,"November 16, 2005",912,137,"Stan looks to a new religion for answers. Tom Cruise, R. Kelly, and John Travolta lock themselves in Stan's closet.",9,12
Free Willzyx,"November 30, 2005",913,138,"A ""talking"" whale inspires the boys to risk everything to ""return him to his family on the moon"".",9,13
Bloody Mary,"December 7, 2005",914,139,Randy's drinking problem reaches its peak. A Virgin Mary statue in a neighboring town begins to bleed from its rectum.,9,14
The Return of Chef,"March 22, 2006",1001,140,"Chef leaves South Park to join the ""Super Adventure Club"". When he returns, the boys notice there's something wrong with him.",10,1
Smug Alert!,"March 29, 2006",1002,141,"Stan persuades everyone in town to buy hybrid cars, not realizing the new cars cause a different kind of dangerous emission.",10,2
Cartoon Wars Part I,"April 5, 2006",1003,142,The town is in panic when Family Guy angers the Muslim world by attempting to air an image of Mohammed. Kyle agrees to help Cartman have the next uncensored episode pulled.,10,3
Cartoon Wars Part II,"April 12, 2006",1004,143,Cartman meets with the president of FOX in an attempt to cancel Family Guy.,10,4
A Million Little Fibers,"April 19, 2006",1005,144,"Broke and needing to pay for his rent, Towelie gets high and decides to publish his memoirs. However, every time he gets high, something goes wrong.",10,5
ManBearPig,"April 26, 2006",1006,145,"Al Gore gets the boys trapped in the Cave Of The Winds while trying to kill the purported ""Manbearpig"".",10,6
Tsst,"May 3, 2006",1007,146,"When Cartman's mom realizes she can't control her son anymore, she gets help from an expert.",10,7
"Make Love, Not Warcraft","October 4, 2006",1008,147,"The boys dedicate their lives to defeat a mad gamer, and save the World of Warcraft.",10,8
Mystery of the Urinal Deuce,"October 11, 2006",1009,148,"Cartman ""discovers"" the true culprit behind the 9/11 attacks. Mr. Mackey is determined to find out who defecated in the urinal at South Park Elementary.",10,9
Miss Teacher Bangs a Boy,"October 18, 2006",1010,149,"A South Park Elementary School teacher is conducting an illicit affair with a student. As the new School Hallway Monitor, Cartman takes it personally when an infraction is committed in his jurisdiction.",10,10
Hell on Earth 2006,"October 25, 2006",1011,150,"Satan decides to throw a big party on Earth, but has trouble deciding who to invite. He wants to invite lots of celebrities that are alive, but is running out of room for his friends.",10,11
Go God Go,"November 1, 2006",1012,151,"Cartman, unable to wait for the Nintendo Wii, freezes himself until it is released. After an avalanche he becomes trapped and wakes up in the future. Ms. Garrison meets Richard Dawkins.",10,12
Go God Go XII,"November 8, 2006",1013,152,Cartman tries to escape from the future while the war rages on between the Atheist factions.,10,13
Stanley's Cup,"November 15, 2006",1014,153,Stan's bike is towed that he needs for his paper route. To get it back he is forced to coach a pee-wee hockey team.,10,14
With Apologies to Jesse Jackson,"March 7, 2007",1101,154,Randy says n*ggers on Wheel of Fortune and Cartman gets into a fight with a midget.,11,1
Cartman Sucks,"March 14, 2007",1102,155,"Cartman pulls his ""best trick ever"" on Butters and gets him put in a special camp where they ""pray the gay away"".",11,2
Lice Capades,"March 21, 2007",1103,156,A hair lice infection hits South Park Elementary. Can Clyde hide his terrible discovery from the others?,11,3
The Snuke,"March 28, 2007",1104,157,Hillary Clinton's campaign rally arrives in town. Cartman suspects a terrorist threat from the new Muslim student.,11,4
Fantastic Easter Special,"April 4, 2007",1105,158,Stan wonders how Easter Eggs and Jesus dying on the cross are linked. He soon falls in with an eccentric society guarding a timeless secret.,11,5
D-Yikes!,"April 11, 2007",1106,159,"Ms. Garrison gets dumped yet again, and lets her anger out on her fourth grade class.",11,6
Night of the Living Homeless,"April 18, 2007",1107,160,South Park is overrun with the homeless. The boys must figure out a way to get rid of them.,11,7
Le Petit Tourette,"October 3, 2007",1108,161,Cartman discovers the joys of having Tourette's syndrome.,11,8
More Crap,"October 10, 2007",1109,162,Randy becomes a town hero when everyone sees the size of his crap.,11,9
Imaginationland Episode I,"October 17, 2007",1110,163,"Kyle regrets making a bet with Cartman, and the boys enter a mysterious land full of imaginary creatures.",11,10
"Imaginationland, Episode II","October 24, 2007",1111,164,Cartman is determined to find Kyle while Butters remains trapped in Imaginationland as the evil creatures break through the barrier...,11,11
"Imaginationland, Episode III","October 31, 2007",1112,165,"Stan and Butters prepare for the battle of their lives, while Cartman takes his case to the Supreme Court.",11,12
Guitar Queer-O,"November 7, 2007",1113,166,"Stan and Kyle become hooked on guitar hero, but Stan's superior skill threatens his and Kyle's friendship.",11,13
The List,"November 14, 2007",1114,167,The boys try to obtain the list that the girls have made rating how attractive the boys are.,11,14
Tonsil Trouble,"March 12, 2008",1201,168,Cartman has his tonsils removed but is accidentally given HIV as a result of a blood transfusion.,12,1
Britney's New Look,"March 19, 2008",1202,169,The boys travel with Britney Spears to the North Pole and discover the secret of her popularity.,12,2
